region_coronavirus	region_world	continent
Nigeria	Nigeria	Africa
Niue	Niue	
Norfolk Island	Norfolk Island	
North Korea	North Korea	Asia
Northern Mariana Islands	Northern Mariana Islands	
Norway	Norway	Europe
Oman	Oman	Asia
Pakistan	Pakistan	Asia
Palau	Palau	Oceania
Palestine	Palestine	
Panama	Panama	North America
Papua New Guinea	Papua New Guinea	Oceania
Paraguay	Paraguay	South America
Peru	Peru	South America
Philippines	Philippines	Asia
Pitcairn Islands	Pitcairn Islands	
Poland	Poland	Europe
Portugal	Portugal	Europe
Puerto Rico	Puerto Rico	
Qatar	Qatar	Asia
Congo (Brazzaville)	Republic of Congo	Africa
Republic of Congo	Republic of Congo	Africa
Reunion	Reunion	
Romania	Romania	Europe
Russia	Russia	Asia
Russian Federation	Russia	Asia
Rwanda	Rwanda	Africa
Saba	Saba	
Saint Barthelemy	Saint Barthelemy	
Saint Helena	Saint Helena	
Saint Kitts	Saint Kitts	North America
Saint Lucia	Saint Lucia	North America
Saint Martin	Saint Martin	
Saint Pierre and Miquelon	Saint Pierre and Miquelon	
Saint Vincent	Saint Vincent	North America
Samoa	Samoa	Oceania
San Marino	San Marino	Europe
Sao Tome and Principe	Sao Tome and Principe	Africa
Saudi Arabia	Saudi Arabia	Asia
Senegal	Senegal	Africa
Serbia	Serbia	Europe
Seychelles	Seychelles	Africa
Siachen Glacier	Siachen Glacier	
Sierra Leone	Sierra Leone	Africa
Singapore	Singapore	Asia
Sint Eustatius	Sint Eustatius	
Sint Maarten	Sint Maarten	
Slovakia	Slovakia	Europe
Slovenia	Slovenia	Europe
Solomon Islands	Solomon Islands	
Somalia	Somalia	Africa
Korea, South	South Korea	Asia
Republic of Korea	South Korea	Asia
South Africa	South Africa	Africa
South Georgia	South Georgia	
South Korea	South Korea	
South Sandwich Islands	South Sandwich Islands	
South Sudan	South Sudan	Africa
Spain	Spain	Europe
Sri Lanka	Sri Lanka	Asia
Sudan	Sudan	Africa
Suriname	Suriname	South America
Swaziland	Swaziland	Africa
Sweden	Sweden	Europe
Switzerland	Switzerland	Europe
Syria	Syria	Asia
Taipei and environs	Taiwan	Asia
Taiwan	Taiwan	Asia
Taiwan*	Taiwan	Asia
Tajikistan	Tajikistan	Asia
Tanzania	Tanzania	Africa
Thailand	Thailand	Asia
Timor-Leste	Timor-Leste	
Tobago	Tobago	North America
Togo	Togo	Africa
Tonga	Tonga	Oceania
Trinidad	Trinidad	North America
Tunisia	Tunisia	Africa
Turkey	Turkey	Asia
Turkmenistan	Turkmenistan	Asia
Turks and Caicos Islands	Turks and Caicos Islands	
Uganda	Uganda	Africa
UK	UK	Europe
United Kingdom	UK	Europe
Ukraine	Ukraine	Europe
United Arab Emirates	United Arab Emirates	Asia
Uruguay	Uruguay	South America
US	USA	North America
USA	USA	North America
Uzbekistan	Uzbekistan	Asia
Vanuatu	Vanuatu	Oceania
Vatican	Vatican	Europe
Venezuela	Venezuela	South America
Viet Nam	Vietnam	Asia
Vietnam	Vietnam	Asia
Virgin Islands	Virgin Islands	
Wallis and Futuna	Wallis and Futuna	
Western Sahara	Western Sahara	
Yemen	Yemen	Asia
Zambia	Zambia	Africa
Zimbabwe	Zimbabwe	Africa
